1.3.6.1.2.1.25.1.6.0    	System Processes
1.3.6.1.2.1.25.4.2.1.2  	Running Programes
1.3.6.1.2.1.25.4.2.1.4  	Processes Path
1.3.6.1.2.1.25.2.3.1.4  	Storage Units
1.3.6.1.2.1.25.6.3.1.2  	Software Name
1.3.6.1.4.1.77.1.2.25   	User Accounts
1.3.6.1.2.1.6.13.1.3    	TCP Local Ports
1.3.6.1.2.1.6.13.1.3.0.0.0.0    Listening TCP ports
1.3.6.1.2.1.7.5.1.2.0.0.0.0     Listening UDP ports
1.3.6.1.4.1.77.1.2.25		Uptime
1.3.6.1.4.1.77.1.2.27		Shares
1.3.6.1.2.1.25.2.3.1.3		Disks
1.3.6.1.4.1.77.1.2.3.1.1	Services
1.3.6.1.4.1.77.1.4.1		Domain

